id,name,category,Description,price
1,Chicken Momo,Andra,Tasty halal chicken mom from bota,100
2,Buff Momo,Newari,Tasty Momo,100
3,Pork Sekuwa,Bhutanese,Tasty Momo,100
4,Syafale,Korean,Tasty Momo,100
5,Laphing,Japnese,Tasty Momo,100
6,Tandoori,Afgani,Tasty Momo,100
7,Sukuti,Arabic,Tasty Momo,100
8,Hukka,Arabic,Tasty Momo,100
9,Cheese Cake,American,Tasty Momo,100
10,Coke,French,Tasty Momo,100
11,Fanta,French,Tasty Momo,100
12,Sprite,French,Tasty Momo,100
13,Dew,French,Tasty Momo,100
14,Dal Dhat,French,Tasty Momo,100
15,Chowmein,Drinks,Tasty Momo,100
16,Thukpa,Drinks,Tasty Momo,100
17,Choila,Drinks,Tasty Momo,100
18,Kachila,Drinks,Tasty Momo,100
19,Chatamari,Drinks,Tasty Momo,100
20,Sekuwa,Drinks,Tasty Momo,100
